date,ticker,close,sma200,above_sma200
2024-12-15,2082.SR,380.2,397.43,0
2024-12-15,2222.SR,28.45,28.646,0
2024-12-15,2380.SR,8.2,7.7188,1
2024-12-15,7010.SR,40.9,39.9538,1
2024-12-15,7203.SR,1133.0,979.149,1
2024-12-16,1120.SR,62.3333,56.724,1
2024-12-16,1150.SR,24.0833,25.9427,0
2024-12-16,1180.SR,33.7,35.958,0
2024-12-16,1211.SR,52.1,47.9883,1
2024-12-16,2010.SR,68.8,75.5505,0
2024-12-16,2082.SR,392.2,398.1226,0
2024-12-16,2222.SR,28.5,28.6288,0
2024-12-16,2380.SR,8.3,7.7162,1
2024-12-16,7010.SR,40.7,39.9475,1
2024-12-16,7203.SR,1132.8,979.543,1
2024-12-17,1120.SR,61.5333,56.7333,1
2024-12-17,1150.SR,23.75,25.9116,0
2024-12-17,1180.SR,33.15,35.9125,0
2024-12-17,1211.SR,51.2,47.998,1
2024-12-17,2010.SR,67.8,75.4905,0
2024-12-17,2082.SR,388.2,398.8161,0
2024-12-17,2222.SR,28.15,28.6105,0
2024-12-17,2380.SR,8.15,7.7128,1
2024-12-17,7010.SR,40.7,39.944,1
2024-12-17,7203.SR,1125.8,980.002,1
2024-12-18,1120.SR,61.5333,56.7413,1
2024-12-18,1150.SR,23.5833,25.8807,0
2024-12-18,1180.SR,33.45,35.868,0
2024-12-18,1211.SR,50.2,48.0025,1
2024-12-18,2010.SR,67.4,75.4335,0
2024-12-18,2082.SR,385.8,399.4746,0
2024-12-18,2222.SR,28.45,28.593,0
2024-12-18,2380.SR,8.2,7.7106,1
2024-12-18,7010.SR,40.35,39.9373,1
2024-12-18,7203.SR,1140.0,980.667,1
2024-12-19,1120.SR,59.9333,56.7443,1
2024-12-19,1150.SR,23.3333,25.8498,0
2024-12-19,1180.SR,33.0,35.8215,0
2024-12-19,1211.SR,49.75,47.9998,1
2024-12-19,2010.SR,66.5,75.3665,0
2024-12-19,2082.SR,377.6,400.0752,0
2024-12-19,2222.SR,29.0,28.5785,1
2024-12-19,2380.SR,8.16,7.708,1
2024-12-19,7010.SR,40.1,39.9298,1
2024-12-19,7203.SR,1132.4,981.178,1
2024-12-22,1120.SR,60.2,56.7487,1
2024-12-22,1150.SR,23.5,25.8208,0
2024-12-22,1180.SR,32.75,35.7735,0
2024-12-22,1211.SR,49.1,47.9938,1
2024-12-22,2010.SR,66.7,75.305,0
2024-12-22,2082.SR,386.4,400.6898,0
2024-12-22,2222.SR,28.45,28.5622,0
2024-12-22,2380.SR,8.16,7.7038,1
2024-12-22,7010.SR,40.25,39.9188,1
2024-12-22,7203.SR,1128.0,981.628,1
2024-12-23,1120.SR,61.8667,56.7657,1
2024-12-23,1150.SR,23.875,25.7962,0
2024-12-23,1180.SR,33.25,35.728,0
2024-12-23,1211.SR,49.35,47.9917,1
2024-12-23,2010.SR,67.1,75.2465,0
2024-12-23,2082.SR,388.0,401.3195,0
2024-12-23,2222.SR,28.5,28.547,0
2024-12-23,2380.SR,8.2,7.7034,1
2024-12-23,7010.SR,40.35,39.9102,1
2024-12-23,7203.SR,1149.2,982.089,1
2024-12-24,1120.SR,61.8667,56.787,1
2024-12-24,1150.SR,23.9167,25.7741,0
2024-12-24,1180.SR,33.3,35.6853,0
2024-12-24,1211.SR,49.2,47.9932,1
2024-12-24,2010.SR,67.1,75.191,0
2024-12-24,2082.SR,391.6,401.8962,0
2024-12-24,2222.SR,28.25,28.5322,0
2024-12-24,2380.SR,8.14,7.7032,1
2024-12-24,7010.SR,40.55,39.9075,1
2024-12-24,7203.SR,1141.0,982.509,1
2024-12-25,1120.SR,61.4667,56.8063,1
2024-12-25,1150.SR,23.875,25.7518,0
2024-12-25,1180.SR,33.2,35.6488,0
2024-12-25,1211.SR,49.5,47.9995,1
2024-12-25,2010.SR,67.2,75.1385,0
2024-12-25,2082.SR,390.4,402.467,0
2024-12-25,2222.SR,28.1,28.5168,0
2024-12-25,2380.SR,8.18,7.7046,1
2024-12-25,7010.SR,40.35,39.9038,1
2024-12-25,7203.SR,1137.2,982.939,1
2024-12-26,1120.SR,61.2667,56.8247,1
2024-12-26,1150.SR,23.625,25.7266,0
2024-12-26,1180.SR,33.15,35.612,0
2024-12-26,1211.SR,49.85,48.0075,1
2024-12-26,2010.SR,67.2,75.086,0
2024-12-26,2082.SR,388.8,402.9659,0
2024-12-26,2222.SR,28.0,28.4982,0
2024-12-26,2380.SR,8.13,7.7057,1
2024-12-26,7010.SR,40.15,39.8978,1
2024-12-26,7203.SR,1136.0,983.363,1
2024-12-29,1120.SR,61.3333,56.8453,1
2024-12-29,1150.SR,23.7917,25.7033,0
2024-12-29,1180.SR,33.65,35.5802,0
2024-12-29,1211.SR,50.2,48.0088,1
2024-12-29,2010.SR,67.2,75.0275,0
2024-12-29,2082.SR,395.8,403.4788,0
2024-12-29,2222.SR,27.85,28.4788,0
2024-12-29,2380.SR,8.15,7.7064,1
2024-12-29,7010.SR,39.9,39.8915,1
2024-12-29,7203.SR,1138.2,983.807,1
2024-12-30,1120.SR,62.6,56.8737,1
2024-12-30,1150.SR,24.0833,25.6817,0
2024-12-30,1180.SR,33.65,35.5485,0
2024-12-30,1211.SR,49.85,48.008,1
2024-12-30,2010.SR,66.9,74.971,0
2024-12-30,2082.SR,406.6,404.0617,1
2024-12-30,2222.SR,27.9,28.4572,0
2024-12-30,2380.SR,8.16,7.7076,1
2024-12-30,7010.SR,39.9,39.8847,1
2024-12-30,7203.SR,1114.8,984.13,1
2024-12-31,1120.SR,63.0667,56.9047,1
2024-12-31,1150.SR,24.125,25.6596,0
2024-12-31,1180.SR,33.4,35.5145,0
2024-12-31,1211.SR,50.3,48.007,1
2024-12-31,2010.SR,67.0,74.914,0
2024-12-31,2082.SR,401.4,404.6216,0
2024-12-31,2222.SR,28.05,28.438,0
2024-12-31,2380.SR,8.26,7.709,1
2024-12-31,7010.SR,40.0,39.8825,1
2024-12-31,7203.SR,1115.0,984.58,1
2025-01-01,1120.SR,63.4667,56.9367,1
2025-01-01,1150.SR,24.5833,25.6389,0
2025-01-01,1180.SR,33.4,35.482,0
2025-01-01,1211.SR,50.3,47.9985,1
2025-01-01,2010.SR,67.3,74.857,0
2025-01-01,2082.SR,403.8,405.1556,0
2025-01-01,2222.SR,28.05,28.418,0
