date,ticker,close,avg_traded_value_20d,liquid,rs_63d,rs_126d,volume_expansion,distance_52w_high,score,rank
2020-07-06,2010.SR,89.0,4690039913.58,True,0.262411,-0.032609,0.017922,-0.223386,0.742857,1
2020-07-06,7010.SR,39.48,80026413.72,True,0.096667,0.004069,0.54989,-0.126549,0.728571,2
2020-07-06,1120.SR,24.1667,331406147.43,True,0.07607,-0.099377,0.873027,-0.198895,0.642857,3
2020-07-06,1211.SR,11.9667,22091770.37,True,0.146972,-0.154297,0.60864,-0.280558,0.6,4
2020-07-06,2380.SR,9.6381,20323086.12,True,0.239643,-0.354599,3.049768,-0.387902,0.528571,5
2020-07-06,1150.SR,9.8133,188972285.38,True,-0.053684,-0.210515,2.210528,-0.256568,0.442857,6
2020-07-06,1180.SR,27.9,103029057.66,True,0.073593,-0.21519,0.580217,-0.358621,0.314286,7
2020-07-07,7010.SR,39.48,79334910.95,True,0.100334,0.010235,0.918423,-0.126549,0.885714,1
2020-07-07,2010.SR,89.2,4687439176.46,True,0.173684,-0.02938,0.014149,-0.22164,0.742857,2
2020-07-07,1120.SR,24.0833,318950890.76,True,0.060551,-0.103877,0.482849,-0.201659,0.571429,3
2020-07-07,1211.SR,11.9667,22045236.71,True,0.087882,-0.176601,0.434408,-0.280558,0.528571,4
2020-07-07,2380.SR,9.6101,21545162.8,True,0.124593,-0.346669,2.194703,-0.38968,0.528571,5
2020-07-07,1150.SR,9.8,188135558.89,True,-0.082397,-0.203899,0.871674,-0.257576,0.414286,6
2020-07-07,1180.SR,27.9,101767250.67,True,0.062857,-0.206823,0.318885,-0.358621,0.328571,7
2020-07-08,7010.SR,39.2,79942865.27,True,0.0901,0.007194,0.974709,-0.132743,0.928571,1
2020-07-08,2010.SR,88.8,4685282185.0,True,0.141388,-0.024176,0.012735,-0.225131,0.742857,2
2020-07-08,1120.SR,24.0833,305092068.12,True,0.076349,-0.109401,0.558239,-0.199446,0.7,3
2020-07-08,1211.SR,11.9,21689161.16,True,0.0625,-0.181191,0.512131,-0.284568,0.485714,4
2020-07-08,1180.SR,27.9,100338721.68,True,0.075145,-0.2,0.49711,-0.358621,0.428571,5
2020-07-08,1150.SR,9.76,186719094.65,True,-0.132444,-0.203265,0.696016,-0.260606,0.357143,6
2020-07-08,2380.SR,9.5261,21286923.5,True,0.022564,-0.344889,1.161937,-0.395015,0.357143,7
2020-07-09,7010.SR,39.2,77057748.11,True,0.094972,0.005128,0.654759,-0.132743,0.871429,1
2020-07-09,2010.SR,88.7,4682929030.26,True,0.129936,-0.01989,0.014317,-0.226003,0.742857,2
2020-07-09,1120.SR,24.0417,295807358.44,True,0.060662,-0.102644,0.709727,-0.19861,0.728571,3
2020-07-09,1211.SR,11.9,21590486.93,True,0.017094,-0.157027,0.610414,-0.284568,0.485714,4
2020-07-09,1180.SR,27.825,97349170.39,True,0.052482,-0.198704,0.475386,-0.360345,0.428571,5
